date,mode,division_dataset,model,accuracy_mean,precision_mean,recall_mean,f1_score_mean,f1_score_std,f1_score_variance,f1_score_min,f1_score_max,learning_rate,max_lenght,weight_decay,features_used,observation
20241114_225208,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87909,0.84344,0.93112,0.88507,0.00898,8e-05,0.87314,0.89929,2e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_004553,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87601,0.84595,0.91956,0.88119,0.00642,4e-05,0.87049,0.89079,2e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_023937,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88056,0.84628,0.93014,0.88619,0.00682,5e-05,0.87819,0.89504,3e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_043311,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87859,0.84908,0.92104,0.88355,0.00657,4e-05,0.87667,0.89191,3e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_062634,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88278,0.85798,0.91759,0.88673,0.00514,3e-05,0.87857,0.89481,3e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_082005,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8679,0.81803,0.94637,0.87752,0.00517,3e-05,0.86903,0.88475,5e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_104629,train_TEST,64_16_20,bert-base-multilingual-uncased,0.84723,0.79328,0.93924,0.86009,0.00448,2e-05,0.85541,0.86863,5e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_123817,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8353,0.78927,0.91488,0.84741,0.00679,5e-05,0.83858,0.861,5e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_145911,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87158,0.84254,0.91414,0.87685,0.00476,2e-05,0.87115,0.88332,1e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_163913,train_TEST,64_16_20,bert-base-multilingual-uncased,0.85363,0.81469,0.91562,0.86218,0.00353,1e-05,0.85754,0.86718,1e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_181457,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86519,0.82008,0.93579,0.87409,0.00246,1e-05,0.87148,0.87761,1e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_200437,train_TEST,64_16_20,bert-base-multilingual-uncased,0.85498,0.81926,0.91094,0.86265,0.00403,2e-05,0.85574,0.86787,2e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_215831,train_TEST,64_16_20,bert-base-multilingual-uncased,0.85978,0.81916,0.92349,0.86818,0.0049,2e-05,0.86285,0.87741,2e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_233643,train_TEST,64_16_20,bert-base-multilingual-uncased,0.84477,0.79012,0.93899,0.85814,0.0025,1e-05,0.85522,0.86272,2e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_010602,train_TEST,64_16_20,bert-base-multilingual-uncased,0.83358,0.77709,0.93554,0.84897,0.0017,0.0,0.84709,0.8518,3e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_023150,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87318,0.84001,0.92202,0.87909,0.00234,1e-05,0.87552,0.88219,3e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_040443,train_TEST,64_16_20,bert-base-multilingual-uncased,0.84686,0.79436,0.93604,0.85939,0.00368,1e-05,0.85344,0.86599,3e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_053731,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87343,0.83841,0.92521,0.87967,0.00653,4e-05,0.86835,0.88608,5e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_072050,train_TEST,64_16_20,bert-base-multilingual-uncased,0.84662,0.78911,0.94612,0.86049,0.00554,3e-05,0.85328,0.87173,5e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_090040,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86236,0.8172,0.93358,0.87151,0.0017,0.0,0.868,0.87303,5e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_210627,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87454,0.83932,0.92645,0.88072,0.00652,4e-05,0.87085,0.88842,1e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241116_230059,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87515,0.8371,0.93161,0.8818,0.00645,4e-05,0.87429,0.8935,1e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_010716,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87564,0.83858,0.93038,0.88208,0.00676,5e-05,0.87212,0.89258,1e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_031617,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8781,0.83888,0.93604,0.88478,0.00505,3e-05,0.8786,0.89244,2e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_051951,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87478,0.84186,0.923,0.88054,0.00388,2e-05,0.87262,0.88388,2e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_071304,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88413,0.85061,0.9321,0.88944,0.00462,2e-05,0.88424,0.89616,2e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_090624,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88266,0.84275,0.94096,0.88913,0.00526,3e-05,0.88366,0.89733,3e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_112118,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88401,0.84224,0.94514,0.8907,0.00562,3e-05,0.88089,0.89825,3e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_132600,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88352,0.84649,0.93703,0.88943,0.00736,5e-05,0.87989,0.89908,3e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_154319,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8765,0.8413,0.92817,0.88257,0.00484,2e-05,0.87429,0.8881,5e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_175207,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88167,0.84444,0.93579,0.88773,0.0081,7e-05,0.87395,0.89796,5e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_200922,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8813,0.84541,0.93333,0.88717,0.00614,4e-05,0.87579,0.89554,5e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241117_230437,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8631,0.82124,0.92841,0.8715,0.00278,1e-05,0.86662,0.87483,1e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_004352,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86728,0.82363,0.93481,0.87567,0.00348,1e-05,0.87258,0.88324,1e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_023428,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86888,0.83707,0.91611,0.87479,0.00298,1e-05,0.87122,0.88079,1e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_044444,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86986,0.83,0.93038,0.87729,0.00258,1e-05,0.87404,0.88157,2e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_062134,train_TEST,64_16_20,bert-base-multilingual-uncased,0.84022,0.7883,0.93038,0.85344,0.00359,1e-05,0.84987,0.85926,2e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_074040,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86728,0.82562,0.93136,0.87528,0.00299,1e-05,0.87088,0.87927,2e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_101427,train_TEST,64_16_20,bert-base-multilingual-uncased,0.85547,0.8011,0.94588,0.86746,0.00473,2e-05,0.85753,0.87152,3e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_123216,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86372,0.82434,0.92447,0.87151,0.00535,3e-05,0.86297,0.87788,3e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_154122,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86039,0.8143,0.93382,0.86994,0.0029,1e-05,0.86382,0.873,3e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_172438,train_TEST,64_16_20,bert-base-multilingual-uncased,0.86298,0.82641,0.91906,0.87025,0.00191,0.0,0.86681,0.87204,5e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_190223,train_TEST,64_16_20,bert-base-multilingual-uncased,0.85313,0.81729,0.90972,0.861,0.00334,1e-05,0.85734,0.86607,5e-05,256,0.03,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241118_205122,train_TEST,64_16_20,bert-base-multilingual-uncased,0.85843,0.82368,0.91218,0.86565,0.00319,1e-05,0.86158,0.87097,5e-05,256,0.01,"content, qtd_friends, qtd_reviews, qtd_photos. (com legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
